ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011267478||Israel|11175000|3904|12124|ILS|ISHGLTSY|8/7/2012|
12/30/2021|BELGIUM (KINGDOM OF)|BGB|BE0000304130||Belgium|2067690|3842|3390|EUR|ISHGLTSY|5/19/2004|
12/30/2021|SINGAPORE (REPUBLIC OF)|SIGB|SG7S30941627||Singapore|4860000|3820|5166|SGD|ISHGLTSY|9/1/2009|
12/30/2021|CANADA (GOVERNMENT OF)|CAN|CA135087K379|135087K37|Canada|4840000|3753|4799|CAD|ISHGLTSY|7/26/2019|
12/30/2021|CANADA (GOVERNMENT OF)|CAN|CA135087M276|135087M27|Canada|4683000|3679|4705|CAD|ISHGLTSY|4/26/2021|
12/30/2021|SINGAPORE (REPUBLIC OF)|SIGB|SG7J60932174||Singapore|4456000|3667|4958|SGD|ISHGLTSY|3/1/2007|
12/30/2021|CANADA (GOVERNMENT OF)|CAN|CA135087L518|135087L51|Canada|4855000|3647|4664|CAD|ISHGLTSY|10/9/2020|
12/30/2021|NORWAY (KINGDOM OF)|NGB|NO0010844079||Norway|30895000|3542|31189|NOK|ISHGLTSY|3/6/2019|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011508798||Israel|9952000|3536|10981|ILS|ISHGLTSY|7/3/2018|
12/30/2021|NORWAY (KINGDOM OF)|NGB|NO0010732555||Norway|30406000|3524|31035|NOK|ISHGLTSY|3/13/2015|
12/30/2021|FINLAND (REPUBLIC OF)|RFGB|FI4000197959||Finland|2969000|3508|3096|EUR|ISHGLTSY|3/8/2016|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011550683||Israel|10550000|3496|10855|ILS|ISHGLTSY|10/9/2018|
12/30/2021|SINGAPORE (REPUBLIC OF)|SIGB|SG31A9000002||Singapore|4475000|3478|4703|SGD|ISHGLTSY|8/1/2016|
12/30/2021|NETHERLANDS (KINGDOM OF)|NETHER|NL0010418810||Netherlands|2935000|3477|3068|EUR|ISHGLTSY|3/22/2013|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0010994569||Israel|8383000|3469|10772|ILS|ISHGLTSY|11/8/2006|
12/30/2021|BELGIUM (KINGDOM OF)|BGB|BE0000320292||Belgium|1825480|3469|3061|EUR|ISHGLTSY|4/21/2010|
