,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2031 Term Treasury ETF
TREASURY NOTE (2OLD),Treasury,Fixed Income,"734,658.12",29.7,"734,658.12","724,000.00",91282CCB5,US91282CCB54,BMHV4S5,101.27,United States,-,USD,8.65,1.46,1.0,"May 15, 2031",1.63,8.66,-,1.46,8.66,1.46,USD,"May 15, 2021","May 17, 2021"
TREASURY NOTE,Treasury,Fixed Income,"674,998.14",27.29,"674,998.14","692,500.00",91282CBL4,US91282CBL46,BLH1TQ1,97.05,United States,-,USD,8.6,1.46,1.0,"Feb 15, 2031",1.13,8.59,-,1.46,8.59,1.46,USD,"Feb 15, 2021","Feb 16, 2021"
TREASURY NOTE (OLD),Treasury,Fixed Income,"624,770.62",25.26,"624,770.62","636,000.00",91282CCS8,US91282CCS89,BMWVP09,97.77,United States,-,USD,8.97,1.48,1.0,"Aug 15, 2031",1.25,8.98,-,1.48,8.98,1.48,USD,"Aug 15, 2021","Aug 16, 2021"
TREASURY NOTE (OTR),Treasury,Fixed Income,"433,271.76",17.52,"433,271.76","438,000.00",91282CDJ7,US91282CDJ71,BMCNFW7,98.73,United States,-,USD,9.18,1.5,1.0,"Nov 15, 2031",1.38,9.18,-,1.5,9.18,1.5,USD,"Nov 15, 2021","Nov 15, 2021"
USD CASH,Cash and/or Derivatives,Cash,"5,821.65",0.24,"5,821.65","5,822.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
