,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,JPMBB_16-C1  A-5,JPMBB_16-C1-A-5,US46645LAY39,,United States,822000,878,878,USD,ISHCMBS,3/1/2016,
12/30/2021,JPMDB_16-C2   A4,JPMDB_16-C2-A4,US46590LAT98,,United States,1000000,1051,1051,USD,ISHCMBS,5/1/2016,
12/30/2021,CGCMT_16-P3   A4,CGCMT_16-P3-A4,US29429CAD74,,United States,75000,79,79,USD,ISHCMBS,4/1/2016,
12/30/2021,CFCRE_16-C4   A4,CFCRE_16-C4-A4,US12531YAN85,,United States,1650000,1740,1740,USD,ISHCMBS,5/1/2016,
12/30/2021,BMARK_21-B27   A2,BMARK_21-B27-A2,US08163HAB42,,United States,1000000,1010,1010,USD,ISHCMBS,6/1/2021,
12/30/2021,FHLMC_K735   A2,FHLMC_K735-A2,US3137FMU673,,United States,2000000,2120,2120,USD,ISHCMBS,7/1/2019,
12/30/2021,FHMS_K055   A2,FHMS_K055-A2,US3137BPW218,,United States,1500000,1576,1576,USD,ISHCMBS,6/1/2016,
12/30/2021,GSMS_16-GS2   A4,GSMS_16-GS2-A4,US36252TAR68,,United States,1170000,1225,1225,USD,ISHCMBS,5/1/2016,
12/30/2021,BACM_16-UB10   A4,BACM_16-UB10-A4,US06054MAE30,,United States,800000,842,842,USD,ISHCMBS,6/1/2016,
12/30/2021,UBSCM_18-C12  ASB,UBSCM_18-C12-AS,US90353DAW56,,United States,1765000,1935,1935,USD,ISHCMBS,8/1/2018,
12/30/2021,WFCM_16-C34   A4,WFCM_16-C34-A4,US95000DBD21,95000DBD2,United States,1000000,1048,1048,USD,ISHCMBS,5/1/2016,
12/30/2021,FHMS_K056   A2,FHMS_K056-A2,US3137BQYS07,,United States,1725000,1804,1804,USD,ISHCMBS,8/1/2016,
