,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,AMERIGAS PARTNERS LP/AMERIGAS FINA,APU,US030981AJ33,,United States,115000,130,130,USD,ISHHYDB,6/27/2016,
12/30/2021,AMERIGAS PARTNERS LP/AMERIGAS FINA,APU,US030981AL88,,United States,606000,675,675,USD,ISHHYDB,2/13/2017,
12/30/2021,UNISYS CORPORATION         144A,UIS,US909214BV97,,United States,615000,673,673,USD,ISHHYDB,10/29/2020,
12/30/2021,UNITI GROUP LP             144A,UNIT,US91327AAA07,91327AAA0,United States,460000,494,494,USD,ISHHYDB,2/10/2020,
12/30/2021,UNITI GROUP LP             144A,UNIT,US91327BAB62,91327BAB6,United States,200000,201,201,USD,ISHHYDB,4/20/2021,
12/30/2021,UNITI GROUP LP             144A,UNIT,US91327BAA89,,United States,990000,1010,1010,USD,ISHHYDB,2/2/2021,
12/30/2021,UNITED RENTALS (NORTH AMERICA) INC,URI,US911365BG81,911365BG8,United States,585000,628,628,USD,ISHHYDB,8/11/2017,
12/30/2021,USA COMPRESSION PARTNERS LP,USAC,US91740PAC23,91740PAC2,United States,945000,1002,1002,USD,ISHHYDB,1/11/2019,
12/30/2021,USA COMPRESSION PARTNERS LP,USAC,US91740PAF53,91740PAF5,United States,545000,589,589,USD,ISHHYDB,12/17/2019,
12/30/2021,VECTOR GROUP LTD           144A,VGR,US92240MBJ62,92240MBJ6,United States,704000,741,741,USD,ISHHYDB,11/2/2018,
12/30/2021,VECTOR GROUP LTD           144A,VGR,US92240MBL19,92240MBL1,United States,835000,833,833,USD,ISHHYDB,1/28/2021,
12/30/2021,VIASAT INC 144A,VSAT,US92552VAK61,,United States,750000,766,766,USD,ISHHYDB,9/21/2017,
12/30/2021,VIASAT INC 144A,VSAT,US92552VAL45,,United States,800000,834,834,USD,ISHHYDB,3/27/2019,
12/30/2021,BRISTOW GROUP INC          144A,VTOL,US11040GAA13,11040GAA1,United States,340000,361,361,USD,ISHHYDB,2/25/2021,
12/30/2021,PICASSO FINANCE SUB INC    144A,WLSC,US71953LAA98,,United States,819000,857,857,USD,ISHHYDB,6/15/2020,
12/30/2021,WYNN LAS VEGAS LLC / WYNN LAS VEGA 144A,WYNNLV,US983130AU95,983130AU9,United States,650000,660,660,USD,ISHHYDB,5/22/2013,
12/30/2021,WYNN LAS VEGAS LLC / WYNN LAS VEGA 144A,WYNNLV,US983130AV78,983130AV7,United States,775000,815,815,USD,ISHHYDB,2/18/2015,
12/30/2021,WYNN RESORTS FINANCE LLC   144A,WYNFIN,US983133AB53,983133AB5,United States,750000,799,799,USD,ISHHYDB,4/14/2020,
12/30/2021,WYNN LAS VEGAS LLC / WYNN LAS VEGA 144A,WYNNLV,US983130AX35,,United States,175000,181,181,USD,ISHHYDB,5/11/2017,
12/30/2021,UNITED STATES STEEL CORP,X,US912909AU28,912909AU2,United States,360000,396,396,USD,ISHHYDB,2/11/2021,
12/30/2021,FIRSTENERGY CORPORATION,FE,US337932AJ65,337932AJ6,United States,295000,357,357,USD,ISHHYDB,6/21/2017,
12/30/2021,FIRSTENERGY CORPORATION,FE,US337932AM94,337932AM9,United States,920000,912,912,USD,ISHHYDB,2/20/2020,
12/30/2021,SUNNOVA ENERGY CORP        144A,NOVA,US86745GAF00,,United States,255000,266,266,USD,ISHHYDB,8/17/2021,
12/30/2021,NRG ENERGY INC,NRG,US629377CE03,629377CE0,United States,600000,650,650,USD,ISHHYDB,10/30/2018,
12/30/2021,PG&E CORPORATION,PCG,US69331CAH16,69331CAH1,United States,1395000,1458,1458,USD,ISHHYDB,6/23/2020,
12/30/2021,PG&E CORPORATION,PCG,US69331CAJ71,,United States,300000,321,321,USD,ISHHYDB,6/23/2020,
12/30/2021,VISTRA OPERATIONS COMPANY LLC 144A,VST,US92840VAA08,92840VAA0,United States,760000,798,798,USD,ISHHYDB,8/22/2018,
12/30/2021,VISTRA OPERATIONS COMPANY LLC 144A,VST,US92840VAB80,92840VAB8,United States,455000,480,480,USD,ISHHYDB,2/6/2019,
12/30/2021,GOEASY LTD 144A,GSYCN,US380355AD93,380355AD9,Canada,715000,738,738,USD,ISHHYDB,11/27/2019,
12/30/2021,INTESA SANPAOLO SPA        144A,ISPIM,US46115HAT41,46115HAT4,Italy,500000,536,536,USD,ISHHYDB,6/26/2014,
12/30/2021,INTESA SANPAOLO SPA MTN 144A,ISPIM,US46115HAW79,46115HAW7,Italy,1050000,1189,1189,USD,ISHHYDB,1/15/2016,
12/30/2021,AIR CANADA 144A,ACACN,US008911BK48,008911BK4,Canada,1350000,1401,1401,USD,ISHHYDB,8/11/2021,
