,STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
0,STIP,2021-12-31,WORST,2022-01-06,0.0,761736.742,761736.742
1,STIP,2021-12-31,WORST,2022-01-18,55385.999,3803132.507,3858518.468
2,STIP,2021-12-31,WORST,2022-04-18,64679.536,4720063.029,4784742.565
3,STIP,2021-12-31,WORST,2022-07-15,53151.523,5760338.843,5813490.366
4,STIP,2021-12-31,WORST,2022-10-17,61729.486,0.0,61729.486
5,STIP,2021-12-31,WORST,2023-01-17,49551.301,8049943.525,8099494.825
6,STIP,2021-12-31,WORST,2023-04-17,61729.486,9530303.266,9592032.752
7,STIP,2021-12-31,WORST,2023-07-17,44520.085,0.0,44520.085
8,STIP,2021-12-31,WORST,2023-10-16,31947.263,0.0,31947.263
9,STIP,2021-12-31,WORST,2024-01-16,44520.085,9120273.715,9164793.89
10,STIP,2021-12-31,WORST,2024-04-15,31947.263,3026043.472,3057990.735
11,STIP,2021-12-31,WORST,2024-07-15,16019.238,5818632.281,5834651.519
12,STIP,2021-12-31,WORST,2024-10-15,24382.16,8388612.284,8412994.444
13,STIP,2021-12-31,WORST,2025-01-15,12382.571,2912909.177,2925291.747
14,STIP,2021-12-31,WORST,2025-04-15,19139.243,14168157.062,14187296.305
15,STIP,2021-12-31,WORST,2025-07-15,8741.428,0.0,8741.428
16,STIP,2021-12-31,WORST,2025-10-15,10284.207,4907222.421,4917506.628
17,STIP,2021-12-31,WORST,2026-01-15,8741.428,1148875.834,1157617.273
18,STIP,2021-12-31,WORST,2026-04-15,7217.18,7455753.936,7462971.116
19,STIP,2021-12-31,WORST,2026-07-15,5151.194,5578850.575,5584001.769
20,STIP,2021-12-31,WORST,2026-10-15,2557.307,4091667.766,4094225.073
21,STIP,2021-12-31,WORST,2027-01-15,1664.412,0.0,1664.412
22,STIP,2021-12-31,WORST,2027-07-15,1664.412,887687.816,889352.228
23,STIP,2021-12-31,MATURITY,2022-01-06,0.0,761736.742,761736.742
24,STIP,2021-12-31,MATURITY,2022-01-18,55385.999,3803132.507,3858518.468
25,STIP,2021-12-31,MATURITY,2022-04-18,64679.536,4720063.029,4784742.565
26,STIP,2021-12-31,MATURITY,2022-07-15,53151.523,5760338.843,5813490.366
27,STIP,2021-12-31,MATURITY,2022-10-17,61729.486,0.0,61729.486
28,STIP,2021-12-31,MATURITY,2023-01-17,49551.301,8049943.525,8099494.825
29,STIP,2021-12-31,MATURITY,2023-04-17,61729.486,9530303.266,9592032.752
30,STIP,2021-12-31,MATURITY,2023-07-17,44520.085,0.0,44520.085
31,STIP,2021-12-31,MATURITY,2023-10-16,31947.263,0.0,31947.263
32,STIP,2021-12-31,MATURITY,2024-01-16,44520.085,9120273.715,9164793.89
33,STIP,2021-12-31,MATURITY,2024-04-15,31947.263,3026043.472,3057990.735
34,STIP,2021-12-31,MATURITY,2024-07-15,16019.238,5818632.281,5834651.519
35,STIP,2021-12-31,MATURITY,2024-10-15,24382.16,8388612.284,8412994.444
36,STIP,2021-12-31,MATURITY,2025-01-15,12382.571,2912909.177,2925291.747
37,STIP,2021-12-31,MATURITY,2025-04-15,19139.243,14168157.062,14187296.305
38,STIP,2021-12-31,MATURITY,2025-07-15,8741.428,0.0,8741.428
39,STIP,2021-12-31,MATURITY,2025-10-15,10284.207,4907222.421,4917506.628
40,STIP,2021-12-31,MATURITY,2026-01-15,8741.428,1148875.834,1157617.273
41,STIP,2021-12-31,MATURITY,2026-04-15,7217.18,7455753.936,7462971.116
42,STIP,2021-12-31,MATURITY,2026-07-15,5151.194,5578850.575,5584001.769
43,STIP,2021-12-31,MATURITY,2026-10-15,2557.307,4091667.766,4094225.073
44,STIP,2021-12-31,MATURITY,2027-01-15,1664.412,0.0,1664.412
45,STIP,2021-12-31,MATURITY,2027-07-15,1664.412,887687.816,889352.228
