,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,JEFFERIES GROUP INC,JEF,US472319AE27,,United States,515000,632,632,USD,ISHIBDS,6/8/2007,
12/30/2021,BANK ONE CORPORATION,JPM,US059438AK79,,United States,1235000,1616,1616,USD,ISHIBDS,4/29/1997,
12/30/2021,JPMORGAN CHASE & CO,JPM,US46625HNJ58,,United States,1973000,2230,2230,USD,ISHIBDS,9/25/2015,
12/30/2021,JPMORGAN CHASE & CO,JPM,US46625HRX07,,United States,1267000,1369,1369,USD,ISHIBDS,11/16/2016,
12/30/2021,KEYCORP MTN,KEY,US49326EEK55,49326EEK5,United States,1538000,1571,1571,USD,ISHIBDS,2/6/2020,
12/30/2021,KIMCO REALTY CORPORATION,KIM,US49446RAS85,,United States,505000,553,553,USD,ISHIBDS,3/30/2017,
12/30/2021,CNA FINANCIAL CORP,CNA,US126117AU49,126117AU4,United States,1014000,1106,1106,USD,ISHIBDS,8/10/2017,
12/30/2021,LAZARD GROUP LLC,LAZ,US52107QAH83,52107QAH8,United States,400000,434,434,USD,ISHIBDS,11/4/2016,
12/30/2021,LIFE STORAGE LP,LSI,US53227JAA25,,United States,685000,754,754,USD,ISHIBDS,12/7/2017,
12/30/2021,MID-AMERICA APARTMENT COMMUNITIES,MAA,US59523UAN72,59523UAN7,United States,783000,849,849,USD,ISHIBDS,5/9/2017,
12/30/2021,MERCURY GENERAL CORPORATION,MCY,US589400AB62,589400AB6,United States,476000,531,531,USD,ISHIBDS,3/8/2017,
12/30/2021,MARKEL CORPORATION,MKL,US570535AR54,570535AR5,United States,448000,483,483,USD,ISHIBDS,11/2/2017,
12/30/2021,MORGAN STANLEY,MS,US61746BEF94,,United States,4286000,4719,4719,USD,ISHIBDS,1/20/2017,
12/30/2021,EATON VANCE CORP,MS,US278265AE30,278265AE3,United States,543000,589,589,USD,ISHIBDS,4/6/2017,
12/30/2021,MORGAN STANLEY MTN,MS,US61761JZN26,61761JZN2,United States,2855000,3162,3162,USD,ISHIBDS,4/23/2015,
12/30/2021,E TRADE FINANCIAL CORP,ETFC,US269246BQ61,269246BQ6,United States,842000,925,925,USD,ISHIBDS,8/24/2017,
12/30/2021,MANUFACTURERS AND TRADERS TRUST CO,MTB,US55279HAQ39,,United States,760000,823,823,USD,ISHIBDS,8/17/2017,
12/30/2021,NATIONAL RETAIL PROPERTIES INC,NNN,US637417AK28,637417AK2,United States,500000,540,540,USD,ISHIBDS,9/14/2017,
12/30/2021,Andrew Mellon Foundation,MELLON,US03444RAB42,,United States,110000,107,107,USD,ISHIBDS,7/29/2020,
12/30/2021,REALTY INCOME CORPORATION,O,US756109AS39,756109AS3,United States,1136000,1215,1215,USD,ISHIBDS,10/12/2016,
12/30/2021,REALTY INCOME CORPORATION,O,US756109BG81,,United States,1035000,1164,1164,USD,ISHIBDS,8/15/2021,
12/30/2021,OAKTREE SPECIALTY LENDING CORP,OCSL,US67401PAC23,67401PAC2,United States,565000,569,569,USD,ISHIBDS,5/18/2021,
12/30/2021,OMEGA HEALTHCARE INVESTORS INC,OHI,US681936BF65,681936BF6,United States,1025000,1137,1137,USD,ISHIBDS,12/16/2015,
12/30/2021,OFFICE PROPERTIES INCOME TRUST,OPI,US67623CAE93,67623CAE9,United States,593000,580,580,USD,ISHIBDS,8/13/2021,
12/30/2021,OWL ROCK CAPITAL CORP,ORCC,US69121KAF12,69121KAF1,United States,825000,817,817,USD,ISHIBDS,4/26/2021,
12/30/2021,OWL ROCK CAPITAL III CORP  144A,ORCIII,US69122JAA43,,United States,600000,589,589,USD,ISHIBDS,10/13/2021,
12/30/2021,OWL ROCK TECHNOLOGY FINANCE CORP,ORTFIN,US691205AG35,,United States,335000,333,333,USD,ISHIBDS,6/14/2021,
12/30/2021,HEALTHPEAK PROPERTIES INC,PEAK,US42250PAC77,,United States,655000,643,643,USD,ISHIBDS,7/12/2021,
12/30/2021,PROGRESSIVE CORPORATION (THE),PGR,US743315AR46,743315AR4,United States,698000,734,734,USD,ISHIBDS,8/25/2016,
12/30/2021,PROLOGIS LP,PLD,US74340XBN03,74340XBN0,United States,872000,892,892,USD,ISHIBDS,2/18/2020,
12/30/2021,PNC FINANCIAL SERVICES GROUP INC (,PNC,US693475AT21,,United States,1409000,1519,1519,USD,ISHIBDS,5/19/2017,
12/30/2021,PNC BANK NATIONAL ASSOCIATION,PNC,US69353RFG83,69353RFG8,United States,1405000,1512,1512,USD,ISHIBDS,10/23/2017,
12/30/2021,PUBLIC STORAGE,PSA,US74460DAC39,74460DAC3,United States,970000,1047,1047,USD,ISHIBDS,9/18/2017,
12/30/2021,REGENCY CENTERS LP,REG,US75884RAV50,,United States,790000,863,863,USD,ISHIBDS,1/26/2017,
12/30/2021,RENAISSANCERE FINANCE INC,RNR,US75973QAA58,75973QAA5,United States,470000,513,513,USD,ISHIBDS,6/29/2017,
12/30/2021,SANTANDER HOLDINGS USA INC,SANUSA,US80282KAP12,80282KAP1,United States,1632000,1827,1827,USD,ISHIBDS,3/1/2018,
12/30/2021,CHARLES SCHWAB CORPORATION (THE),SCHW,US808513AQ89,,United States,1092000,1180,1180,USD,ISHIBDS,3/2/2017,
12/30/2021,CHARLES SCHWAB CORPORATION (THE),SCHW,US808513BW49,808513BW4,United States,1120000,1210,1210,USD,ISHIBDS,9/22/2021,
12/30/2021,DDR CORP,SITC,US23317HAF91,23317HAF9,United States,738000,821,821,USD,ISHIBDS,5/26/2017,
12/30/2021,TANGER PROPERTIES LP,SKT,US875484AK30,875484AK3,United States,410000,446,446,USD,ISHIBDS,7/3/2017,
12/30/2021,SIMON PROPERTY GROUP LP,SPG,US828807DP98,828807DP9,United States,760000,748,748,USD,ISHIBDS,8/18/2021,
