,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2029 Term Treasury ETF
TREASURY NOTE,Treasury,Fixed Income,"6,290,859.56",38.55,"6,290,859.56","5,885,700.00",9128286T2,US9128286T26,BK1WFV0,106.58,United States,-,USD,6.75,1.43,1.0,"May 15, 2029",2.38,6.76,-,1.43,6.76,1.43,USD,"May 15, 2019","May 15, 2019"
TREASURY NOTE,Treasury,Fixed Income,"5,176,717.10",31.72,"5,176,717.10","5,072,300.00",912828YB0,US912828YB05,BK9DLB7,101.45,United States,-,USD,7.11,1.42,1.0,"Aug 15, 2029",1.63,7.11,-,1.42,7.11,1.42,USD,"Aug 15, 2019","Aug 15, 2019"
TREASURY NOTE,Treasury,Fixed Income,"2,899,172.52",17.77,"2,899,172.52","2,657,600.00",9128286B1,US9128286B18,BJ7G9F1,108.11,United States,-,USD,6.46,1.42,1.0,"Feb 15, 2029",2.63,6.47,-,1.42,6.47,1.42,USD,"Feb 15, 2019","Feb 15, 2019"
TREASURY NOTE,Treasury,Fixed Income,"1,776,994.38",10.89,"1,776,994.38","1,729,900.00",912828YS3,US912828YS30,BKVKB83,102.5,United States,-,USD,7.32,1.41,1.0,"Nov 15, 2029",1.75,7.33,-,1.41,7.33,1.41,USD,"Nov 15, 2019","Nov 15, 2019"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"170,000.00",1.04,"170,000.00","170,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
USD CASH,Cash and/or Derivatives,Cash,"4,711.73",0.03,"4,711.73","4,712.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
FUTURES USD MARGIN BALANCE,Cash and/or Derivatives,Cash Collateral and Margins,-4.46,0.0,-4.46,-4.00,-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,"Jan 03, 2022",0.1,0.0,-,0.1,0.0,0.1,USD,"Jan 01, 2000","Jan 01, 2000"
