,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,JAPAN (GOVERNMENT OF) 2YR #426,JGB,JP1024261M79,,Japan,12100000,105,12119,JPY,ISHGT1-3,7/1/2021,
12/30/2021,JAPAN (GOVERNMENT OF) 20YR #63,JGB,JP1200631388,,Japan,11600000,104,11926,JPY,ISHGT1-3,8/25/2003,
12/30/2021,GERMANY (FEDERAL REPUBLIC OF) RegS,BKO,DE0001104867,,Germany,70000,80,71,EUR,ISHGT1-3,11/11/2021,
12/30/2021,ITALY (REPUBLIC OF)        RegS,BTPS,IT0005384497,,Italy,70000,80,70,EUR,ISHGT1-3,9/16/2019,
12/30/2021,JAPAN (GOVERNMENT OF) 20YR #70,JGB,JP1200701462,,Japan,6550000,60,6956,JPY,ISHGT1-3,6/25/2004,
12/30/2021,JAPAN (GOVERNMENT OF) 10YR #331,JGB,JP1103311DB5,,Japan,6050000,53,6131,JPY,ISHGT1-3,11/8/2013,
12/30/2021,JAPAN (GOVERNMENT OF) 2YR #420,JGB,JP1024201M15,,Japan,5000000,44,5012,JPY,ISHGT1-3,1/4/2021,
12/30/2021,CAD CASH,CAD,,,Canada,49706,39,50,CAD,ISHGT1-3,1/1/1989,
12/30/2021,SGD CASH,SGD,,,Singapore,40299,30,40,SGD,ISHGT1-3,1/1/1990,
12/30/2021,BLK CSH FND TREASURY SL AGENCY,XTSLA,US0669224778,066922477,United States,20000,20,20,USD,ISHGT1-3,2/4/2009,
12/30/2021,NOK CASH,NOK,,,Norway,154910,18,155,NOK,ISHGT1-3,1/1/1990,
12/30/2021,DKK CASH,DKK,,,Denmark,101908,16,102,DKK,ISHGT1-3,1/1/1990,
12/30/2021,GBP CASH,GBP,,,United Kingdom,8837,12,9,GBP,ISHGT1-3,1/1/1989,
12/30/2021,SEK CASH,SEK,,,Sweden,95446,11,95,SEK,ISHGT1-3,1/1/1990,
12/30/2021,AUD CASH,AUD,,,Australia,5288,4,5,AUD,ISHGT1-3,1/1/1990,
12/30/2021,USD CASH,USD,,,United States,940,1,1,USD,ISHGT1-3,1/1/1989,
12/30/2021,KRW CASH,KRW,,,"Korea (South), Republic of",1024,0,1,KRW,ISHGT1-3,1/1/1989,
12/30/2021,FUTURES KRW MARGIN BALANCE,MARGIN_KRW,,,"Korea (South), Republic of",665,0,1,KRW,ISHGT1-3,1/1/2000,
12/30/2021,ILS CASH,ILS,,,Israel,-152081,-49,-152,ILS,ISHGT1-3,1/1/1990,
12/30/2021,EUR CASH,EUR,,,European Union,-286504,-325,-287,EUR,ISHGT1-3,1/1/1989,
