,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,PGT INNOVATIONS INC        144A,PGTI,US69336VAB71,69336VAB7,United States,5000,5,5,USD,ISHIMTB,9/24/2021,
12/30/2021,PIKE CORP  144A,PIKE,US721283AA72,721283AA7,United States,5000,5,5,USD,ISHIMTB,8/26/2020,
12/30/2021,LABL INC   144A,LABL,US50168QAC96,,United States,5000,5,5,USD,ISHIMTB,10/29/2021,
12/30/2021,PLAYTIKA HOLDING CORP      144A,PLTK,US72815LAA52,72815LAA5,United States,10000,10,10,USD,ISHIMTB,3/11/2021,
12/30/2021,PLANTRONICS INC            144A,POLY,US727493AC24,727493AC2,United States,5000,5,5,USD,ISHIMTB,3/4/2021,
12/30/2021,POST HOLDINGS INC          144A,POST,US737446AM60,737446AM6,United States,15000,16,16,USD,ISHIMTB,2/14/2017,
12/30/2021,POST HOLDINGS INC          144A,POST,US737446AN44,,United States,10000,11,11,USD,ISHIMTB,12/1/2017,
12/30/2021,POST HOLDINGS INC          144A,POST,US737446AP91,737446AP9,United States,15000,16,16,USD,ISHIMTB,7/3/2019,
12/30/2021,POST HOLDINGS INC          144A,POST,US737446AQ74,737446AQ7,United States,25000,26,26,USD,ISHIMTB,2/26/2020,
12/30/2021,PILGRIMS PRIDE CORP        144A,PPC,US72147KAE82,72147KAE8,United States,10000,11,11,USD,ISHIMTB,9/29/2017,
12/30/2021,PILGRIMS PRIDE CORP        144A,PPC,US72147KAF57,,United States,10000,11,11,USD,ISHIMTB,4/8/2021,
12/30/2021,PARK RIVER HOLDINGS INC    144A,PRIMBP,US70082LAA52,,United States,5000,5,5,USD,ISHIMTB,1/22/2021,
12/30/2021,PARK RIVER HOLDINGS INC    144A,PRIMBP,US70082LAB36,70082LAB3,United States,5000,5,5,USD,ISHIMTB,6/9/2021,
12/30/2021,PRIMO WATER HOLDINGS INC   144A,PRMWCN,US74168LAA44,,Canada,10000,10,10,USD,ISHIMTB,4/30/2021,
12/30/2021,PATTERSON-UTI ENERGY INC.,PTEN,US703481AB79,703481AB7,United States,5000,5,5,USD,ISHIMTB,9/7/2018,
12/30/2021,PATTERSON-UTI ENERGY INC.,PTEN,US703481AC52,703481AC5,United States,5000,5,5,USD,ISHIMTB,11/15/2019,
12/30/2021,PAPA JOHNS INTERNATIONAL INC 144A,PZZA,US698813AA06,,United States,5000,5,5,USD,ISHIMTB,9/14/2021,
12/30/2021,QVC INC,QVCN,US747262AY90,747262AY9,United States,5000,5,5,USD,ISHIMTB,2/4/2020,
12/30/2021,QVC INC,QVCN,US747262AZ65,747262AZ6,United States,10000,10,10,USD,ISHIMTB,8/20/2020,
12/30/2021,LIBERTY MEDIA LLC,LINTA,US530715AJ01,,United States,5000,6,6,USD,ISHIMTB,6/8/2000,
12/30/2021,RADIATE HOLDCO LLC / RADIATE FINAN 144A,RADIAT,US75026JAE01,,United States,10000,10,10,USD,ISHIMTB,9/25/2020,
12/30/2021,ROBLOX CORP                144A,RBLX,US771049AA15,771049AA1,United States,10000,10,10,USD,ISHIMTB,10/29/2021,
12/30/2021,RENT-A-CENTER INC/TX       144A,RCII,US76009NAL47,,United States,5000,5,5,USD,ISHIMTB,2/17/2021,
12/30/2021,FIRST STUDENT BIDCO INC    144A,FRSTST,US337120AA74,337120AA7,United States,15000,15,15,USD,ISHIMTB,7/21/2021,
12/30/2021,RENEWABLE ENERGY GROUP INC 144A,REGI,US75972AAD54,75972AAD5,United States,5000,5,5,USD,ISHIMTB,5/20/2021,
12/30/2021,REYNOLDS GROUP ISSUER LLC  144A,REYNOL,US76174LAA17,76174LAA1,United States,20000,20,20,USD,ISHIMTB,10/1/2020,
12/30/2021,LIFEPOINT HEALTH INC       144A,RGCARE,US53219LAU35,53219LAU3,United States,5000,5,5,USD,ISHIMTB,12/4/2020,
12/30/2021,REALOGY GROUP LLC          144A,RLGY,US75606DAL55,,United States,10000,11,11,USD,ISHIMTB,1/11/2021,
12/30/2021,ARAMARK SERVICES INC       144A,ARMK,US038522AQ17,038522AQ1,United States,15000,16,16,USD,ISHIMTB,1/18/2018,
12/30/2021,ROCKIES EXPRESS PIPELINE LLC 144A,ROCKIE,US77340RAT41,77340RAT4,United States,10000,11,11,USD,ISHIMTB,1/31/2020,
12/30/2021,RANGE RESOURCES CORPORATION,RRC,US75281ABJ79,,United States,10000,12,12,USD,ISHIMTB,12/8/2021,
12/30/2021,RR DONNELLEY & SONS CO,RRD,US257867BE01,257867BE0,United States,5000,6,6,USD,ISHIMTB,6/18/2020,
12/30/2021,RACKSPACE TECHNOLOGY GLOBAL INC 144A,RAX,US750098AB18,750098AB1,United States,10000,10,10,USD,ISHIMTB,2/9/2021,
12/30/2021,RACKSPACE TECHNOLOGY GLOBAL INC 144A,RAX,US750098AA35,750098AA3,United States,5000,5,5,USD,ISHIMTB,12/1/2020,
12/30/2021,JOSEPH T RYERSON & SON INC 144A,RYI,US48088LAB36,48088LAB3,United States,6000,7,7,USD,ISHIMTB,7/22/2020,
12/30/2021,SONIC AUTOMOTIVE INC       144A,SAH,US83545GBD34,83545GBD3,United States,10000,10,10,USD,ISHIMTB,10/27/2021,
12/30/2021,SCIENCE APPLICATIONS INTERNATIONAL 144A,SAIC,US808625AA58,808625AA5,United States,5000,5,5,USD,ISHIMTB,3/13/2020,
12/30/2021,SBA COMMUNICATIONS CORP,SBAC,US78410GAD60,78410GAD6,United States,10000,10,10,USD,ISHIMTB,12/28/2020,
12/30/2021,SBA COMMUNICATIONS CORP    144A,SBAC,US78410GAE44,,United States,15000,15,15,USD,ISHIMTB,1/29/2021,
12/30/2021,DIAMOND SPRTS GROUP LLC/DIAMOND SP 144A,DSPORT,US25277LAC00,,United States,15000,5,5,USD,ISHIMTB,8/2/2019,
12/30/2021,SINCLAIR TELEVISION GROUP INC 144A,SBGI,US829259AY67,829259AY6,United States,10000,10,10,USD,ISHIMTB,11/27/2019,
12/30/2021,SINCLAIR TELEVISION GROUP INC 144A,SBGI,US829259BA72,,United States,10000,10,10,USD,ISHIMTB,12/4/2020,
12/30/2021,SERVICE CORPORATION INTERNATIONAL,SCI,US817565CF96,817565CF9,United States,10000,10,10,USD,ISHIMTB,8/10/2020,
12/30/2021,SERVICE CORPORATION INTERNATIONAL,SCI,US817565CG79,817565CG7,United States,15000,15,15,USD,ISHIMTB,5/24/2021,
12/30/2021,NATIONAL CINEMEDIA LLC     144A,NATCIN,US63530QAJ85,63530QAJ8,United States,5000,5,5,USD,ISHIMTB,10/8/2019,
12/30/2021,SEAWORLD PARKS & ENTERTAINMENT 144A,SEAS,US81282UAG76,81282UAG7,United States,10000,10,10,USD,ISHIMTB,8/25/2021,
12/30/2021,SEALED AIR CORPORATION     144A,SEE,US81211KAY64,81211KAY6,United States,5000,5,5,USD,ISHIMTB,11/26/2019,
12/30/2021,SEG HOLDING LLC            144A,SEGHLD,US78397KAA07,,United States,5000,5,5,USD,ISHIMTB,10/9/2020,
12/30/2021,SCIENTIFIC GAMES INTERNATIONAL INC 144A,SGMS,US80874YBE95,80874YBE9,United States,10000,11,11,USD,ISHIMTB,11/26/2019,
12/30/2021,SHEA HOMES LIMITED PARTNERSHIP A C 144A,SHEAHM,US82088KAG31,82088KAG3,United States,5000,5,5,USD,ISHIMTB,9/28/2020,
12/30/2021,SIMMONS FOODS INC          144A,SIMFOO,US82873MAA18,,United States,10000,10,10,USD,ISHIMTB,3/3/2021,
12/30/2021,SIX FLAGS ENTERTAINMENT CORP 144A,SIX,US83001AAC62,83001AAC6,United States,5000,5,5,USD,ISHIMTB,4/13/2017,
12/30/2021,SILGAN HOLDINGS INC,SLGN,US827048AW93,,United States,5000,5,5,USD,ISHIMTB,7/22/2020,
12/30/2021,SYLVAMO CORP               144A,SLVM,US87133LAA89,87133LAA8,United States,5000,5,5,USD,ISHIMTB,9/3/2021,
12/30/2021,SM ENERGY CO,SM,US78454LAW00,78454LAW0,United States,5000,5,5,USD,ISHIMTB,6/23/2021,
12/30/2021,SCOTTS MIRACLE-GRO CO/THE  144A,SMG,US810186AT39,810186AT3,United States,10000,10,10,USD,ISHIMTB,3/17/2021,
12/30/2021,SRM ESCROW ISSUER LLC      144A,SMYREA,US85236FAA12,85236FAA1,United States,10000,11,11,USD,ISHIMTB,11/6/2020,
12/30/2021,SRS DISTRIBUTION INC       144A,SRSDIS,US78471RAB24,78471RAB2,United States,5000,5,5,USD,ISHIMTB,6/4/2021,
12/30/2021,SRS DISTRIBUTION INC       144A,SRSDIS,US78471RAC07,78471RAC0,United States,5000,5,5,USD,ISHIMTB,6/4/2021,
12/30/2021,SRS DISTRIBUTION INC       144A,SRSDIS,US78471RAD89,78471RAD8,United States,10000,10,10,USD,ISHIMTB,11/12/2021,
12/30/2021,SPECTRUM BRANDS INC        144A,SPB,US84762LAV71,84762LAV7,United States,5000,5,5,USD,ISHIMTB,9/24/2019,
12/30/2021,SPECTRUM BRANDS HOLDINGS INC 144A,SPB,US84762LAW54,84762LAW5,United States,10000,11,11,USD,ISHIMTB,6/30/2020,
12/30/2021,SPECTRUM BRANDS INC        144A,SPB,US84762LAX38,84762LAX3,United States,5000,5,5,USD,ISHIMTB,3/3/2021,
12/30/2021,SUBURBAN PROPANE PARTNERS L.P/SUBU 144A,SPH,US864486AL98,,United States,10000,10,10,USD,ISHIMTB,5/24/2021,
12/30/2021,SPIRIT AEROSYSTEMS INC,SPR,US85205TAK60,85205TAK6,United States,10000,10,10,USD,ISHIMTB,5/30/2018,
12/30/2021,SWF ESCROW ISSUER CORP     144A,SPRIND,US78500AAA60,78500AAA6,United States,5000,5,5,USD,ISHIMTB,10/1/2021,
12/30/2021,SQUARE INC 144A,SQ,US852234AM55,852234AM5,United States,15000,15,15,USD,ISHIMTB,5/20/2021,
12/30/2021,STERICYCLE INC             144A,SRCL,US858912AG34,858912AG3,United States,10000,10,10,USD,ISHIMTB,11/24/2020,
12/30/2021,SS&C TECHNOLOGIES INC      144A,SSNC,US78466CAC01,78466CAC0,United States,20000,21,21,USD,ISHIMTB,3/28/2019,
12/30/2021,EW SCRIPPS CO              144A,SSP,US81104PAA75,81104PAA7,United States,10000,11,11,USD,ISHIMTB,7/26/2019,
12/30/2021,SCRIPPS ESCROW II INC      144A,SSP,US81105DAA37,,United States,5000,5,5,USD,ISHIMTB,12/30/2020,
12/30/2021,SCRIPPS ESCROW II INC      144A,SSP,US81105DAB10,,United States,5000,5,5,USD,ISHIMTB,12/30/2020,
12/30/2021,SENSATA TECHNOLOGIES INC   144A,ST,US81728UAA25,81728UAA2,United States,5000,5,5,USD,ISHIMTB,9/20/2019,
12/30/2021,SENSATA TECHNOLOGIES INC   144A,ST,US81728UAB08,81728UAB0,United States,10000,10,10,USD,ISHIMTB,8/17/2020,
12/30/2021,MIDAS OPCO HOLDINGS LLC    144A,STGW,US59565JAA97,,United States,20000,21,21,USD,ISHIMTB,8/20/2021,
12/30/2021,STATION CASINOS LLC        144A,RRR,US857691AG41,857691AG4,United States,10000,10,10,USD,ISHIMTB,2/7/2020,
12/30/2021,STONEMOR INC               144A,STON,US86184WAA45,86184WAA4,United States,5000,5,5,USD,ISHIMTB,5/11/2021,
12/30/2021,SUMMIT MATERIALS LLC       144A,SUMMAT,US86614RAN70,86614RAN7,United States,10000,11,11,USD,ISHIMTB,8/11/2020,
12/30/2021,SUNOCO LP / SUNOCO FINANCE CORP,SUN,US86765LAT44,,United States,15000,15,15,USD,ISHIMTB,7/6/2021,
12/30/2021,SUNOCO LP  144A,SUN,US86765LAU17,86765LAU1,United States,6000,6,6,USD,ISHIMTB,10/20/2021,
12/30/2021,SWITCH LTD 144A,SWCH,US87105NAA81,87105NAA8,United States,10000,10,10,USD,ISHIMTB,9/17/2020,
12/30/2021,SWITCH LTD 144A,SWCH,US87105NAC48,,United States,5000,5,5,USD,ISHIMTB,6/7/2021,
12/30/2021,SOUTHWESTERN ENERGY COMPANY,SWN,US845467AP47,845467AP4,United States,10000,11,11,USD,ISHIMTB,8/27/2020,
12/30/2021,SOUTHWESTERN ENERGY COMPANY,SWN,US845467AR03,,United States,5000,5,5,USD,ISHIMTB,11/12/2021,
12/30/2021,SOUTHWESTERN ENERGY COMPANY,SWN,US845467AS85,845467AS8,United States,15000,16,16,USD,ISHIMTB,8/30/2021,
12/30/2021,SUNCOKE ENERGY INC         144A,SXC,US86722AAD54,86722AAD5,United States,5000,5,5,USD,ISHIMTB,6/22/2021,
12/30/2021,SYNAPTICS INCORPORATED     144A,SYNA,US87157DAG43,87157DAG4,United States,5000,5,5,USD,ISHIMTB,3/11/2021,
12/30/2021,SYNEOS HEALTH INC          144A,SYNH,US87166BAA08,87166BAA0,United States,10000,10,10,USD,ISHIMTB,11/24/2020,
12/30/2021,DIRECTV FINANCING LLC      144A,DTV,US25461LAA08,25461LAA0,United States,45000,47,47,USD,ISHIMTB,8/2/2021,
12/30/2021,CARROLS RESTAURANT GROUP INC 144A,TAST,US14574XAF15,,United States,5000,5,5,USD,ISHIMTB,6/28/2021,
12/30/2021,TRANSDIGM INC,TDG,US893647BH98,893647BH9,United States,5000,5,5,USD,ISHIMTB,9/16/2019,
12/30/2021,TRANSDIGM INC,TDG,US893647BL01,893647BL0,United States,25000,26,26,USD,ISHIMTB,6/12/2020,
12/30/2021,TRANSDIGM INC,TDG,US893647BP15,,United States,10000,10,10,USD,ISHIMTB,9/20/2021,
12/30/2021,TRANSDIGM INC,TDG,US893647BQ97,,United States,10000,10,10,USD,ISHIMTB,9/20/2021,
12/30/2021,TALLGRASS ENERGY PARTNERS LP 144A,TEP,US87470LAD38,87470LAD3,United States,10000,10,10,USD,ISHIMTB,9/15/2017,
12/30/2021,TALLGRASS ENERGY PARTNERS LP 144A,TEP,US87470LAJ08,,United States,5000,5,5,USD,ISHIMTB,12/22/2020,
12/30/2021,TENNECO INC                144A,TEN,US880349AS45,880349AS4,United States,5000,6,6,USD,ISHIMTB,11/30/2020,
12/30/2021,TENNECO INC                144A,TEN,US880349AT28,,United States,5000,5,5,USD,ISHIMTB,3/17/2021,
12/30/2021,TERRIER MEDIA BUYER INC    144A,TERMED,US88146LAA17,88146LAA1,United States,15000,16,16,USD,ISHIMTB,12/17/2019,
12/30/2021,TEREX CORPORATION          144A,TEX,US880779BA01,,United States,10000,10,10,USD,ISHIMTB,4/1/2021,
12/30/2021,TELEFLEX INCORPORATED      144A,TFX,US879369AG12,879369AG1,United States,10000,10,10,USD,ISHIMTB,5/27/2020,
12/30/2021,TEGNA INC,TGNA,US87901JAJ43,87901JAJ4,United States,10000,10,10,USD,ISHIMTB,1/9/2020,
12/30/2021,TEGNA INC,TGNA,US87901JAH86,,United States,20000,21,21,USD,ISHIMTB,9/13/2019,
12/30/2021,TENET HEALTHCARE CORPORATION 144A,THC,US88033GCX60,,United States,10000,11,11,USD,ISHIMTB,2/5/2019,
12/30/2021,TENET HEALTHCARE CORPORATION 144A,THC,US88033GDA58,88033GDA5,United States,20000,21,21,USD,ISHIMTB,8/26/2019,
12/30/2021,TENET HEALTHCARE CORPORATION 144A,THC,US88033GDJ67,88033GDJ6,United States,25000,27,27,USD,ISHIMTB,9/16/2020,
12/30/2021,TENET HEALTHCARE CORPORATION 144A,THC,US88033GDL14,88033GDL1,United States,20000,20,20,USD,ISHIMTB,6/2/2021,
12/30/2021,TENET HEALTHCARE CORPORATION 144A,THC,US88033GDN79,88033GDN7,United States,25000,25,25,USD,ISHIMTB,12/1/2021,
12/30/2021,TREEHOUSE FOODS INC,THS,US89469AAD63,,United States,10000,10,10,USD,ISHIMTB,9/9/2020,
12/30/2021,INTERFACE INC              144A,TILE,US458665AS53,458665AS5,United States,5000,5,5,USD,ISHIMTB,11/17/2020,
12/30/2021,TKC HOLDINGS               144A,TKCHOL,US87256YAC75,87256YAC7,United States,5000,5,5,USD,ISHIMTB,5/14/2021,
12/30/2021,TKC HOLDINGS               144A,TKCHOL,US87256YAA10,87256YAA1,United States,5000,5,5,USD,ISHIMTB,5/14/2021,
