,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2024 Term Treasury ETF
TREASURY NOTE,Treasury,Fixed Income,"13,684,500.75",25.62,"13,684,500.75","13,865,200.00",91282CCX7,US91282CCX74,BLHM481,98.59,United States,-,USD,2.68,0.91,1.0,"Sep 15, 2024",0.38,2.67,-,0.91,2.67,0.91,USD,"Sep 15, 2021","Sep 15, 2021"
TREASURY NOTE,Treasury,Fixed Income,"9,634,957.37",18.04,"9,634,957.37","9,450,000.00",912828YH7,US912828YH74,BJYQBF8,101.58,United States,-,USD,2.67,0.92,1.0,"Sep 30, 2024",1.5,2.67,-,0.92,2.67,0.92,USD,"Sep 30, 2019","Sep 30, 2019"
TREASURY NOTE,Treasury,Fixed Income,"7,060,425.99",13.22,"7,060,425.99","6,748,800.00",9128285Z9,US9128285Z94,BGC26D0,103.58,United States,-,USD,2.01,0.76,1.0,"Jan 31, 2024",2.5,2.01,-,0.76,2.01,0.76,USD,"Jan 31, 2019","Jan 31, 2019"
TREASURY NOTE,Treasury,Fixed Income,"6,529,864.55",12.22,"6,529,864.55","6,300,000.00",9128286R6,US9128286R69,BK1LRG6,103.27,United States,-,USD,2.26,0.83,1.0,"Apr 30, 2024",2.25,2.26,-,0.83,2.26,0.83,USD,"Apr 30, 2019","Apr 30, 2019"
TREASURY NOTE,Treasury,Fixed Income,"3,032,687.86",5.68,"3,032,687.86","2,910,700.00",9128286G0,US9128286G05,BJKRNW6,103.39,United States,-,USD,2.09,0.78,1.0,"Feb 29, 2024",2.38,2.09,-,0.78,2.09,0.78,USD,"Feb 28, 2019","Feb 28, 2019"
TREASURY NOTE,Treasury,Fixed Income,"2,914,666.03",5.46,"2,914,666.03","2,866,000.00",912828YV6,US912828YV68,BJR5GR9,101.57,United States,-,USD,2.84,0.95,1.0,"Nov 30, 2024",1.5,2.84,-,0.95,2.84,0.95,USD,"Nov 30, 2019","Dec 02, 2019"
TREASURY NOTE,Treasury,Fixed Income,"2,856,085.03",5.35,"2,856,085.03","2,890,900.00",91282CBE0,US91282CBE03,BNK9P24,98.74,United States,-,USD,2.02,0.75,1.0,"Jan 15, 2024",0.13,2.02,-,0.75,2.02,0.75,USD,"Jan 15, 2021","Jan 15, 2021"
TREASURY NOTE,Treasury,Fixed Income,"2,705,007.81",5.06,"2,705,007.81","2,625,000.00",912828X70,US912828X703,BD2Z8L0,102.71,United States,-,USD,2.26,0.82,1.0,"Apr 30, 2024",2.0,2.27,-,0.82,2.27,0.82,USD,"Apr 30, 2017","May 01, 2017"
TREASURY NOTE,Treasury,Fixed Income,"1,169,418.32",2.19,"1,169,418.32","1,123,800.00",9128282N9,US9128282N91,BD36HF9,103.18,United States,-,USD,2.49,0.88,1.0,"Jul 31, 2024",2.13,2.49,-,0.88,2.49,0.88,USD,"Jul 31, 2017","Jul 31, 2017"
TREASURY NOTE (OTR),Treasury,Fixed Income,"1,001,615.98",1.88,"1,001,615.98","1,000,000.00",91282CDN8,US91282CDN83,BP6NM34,100.11,United States,-,USD,2.9,0.96,1.0,"Dec 15, 2024",1.0,2.9,-,0.96,2.9,0.96,USD,"Dec 15, 2021","Dec 15, 2021"
TREASURY NOTE,Treasury,Fixed Income,"791,703.05",1.48,"791,703.05","756,000.00",912828D56,US912828D564,BPYD731,103.83,United States,-,USD,2.52,0.89,1.0,"Aug 15, 2024",2.38,2.52,-,0.89,2.52,0.89,USD,"Aug 15, 2014","Aug 15, 2014"
TREASURY NOTE,Treasury,Fixed Income,"649,934.80",1.22,"649,934.80","656,000.00",91282CBV2,US91282CBV28,BMCRW95,99.0,United States,-,USD,2.26,0.82,1.0,"Apr 15, 2024",0.38,2.26,-,0.82,2.26,0.82,USD,"Apr 15, 2021","Apr 15, 2021"
TREASURY NOTE,Treasury,Fixed Income,"545,778.51",1.02,"545,778.51","525,000.00",912828G38,US912828G385,BSJWZX0,103.67,United States,-,USD,2.77,0.95,1.0,"Nov 15, 2024",2.25,2.77,-,0.95,2.77,0.95,USD,"Nov 15, 2014","Nov 17, 2014"
TREASURY NOTE,Treasury,Fixed Income,"325,063.29",0.61,"325,063.29","315,700.00",912828Y87,US912828Y875,BJVN8Q2,102.24,United States,-,USD,2.5,0.87,1.0,"Jul 31, 2024",1.75,2.5,-,0.87,2.5,0.87,USD,"Jul 31, 2019","Jul 31, 2019"
TREASURY NOTE,Treasury,Fixed Income,"292,361.24",0.55,"292,361.24","295,500.00",91282CCL3,US91282CCL37,BKX7FT1,98.77,United States,-,USD,2.5,0.87,1.0,"Jul 15, 2024",0.38,2.51,-,0.87,2.51,0.87,USD,"Jul 15, 2021","Jul 15, 2021"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"118,000.00",0.22,"118,000.00","118,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
TREASURY NOTE,Treasury,Fixed Income,"116,669.33",0.22,"116,669.33","118,400.00",91282CCG4,US91282CCG42,BP0WLL8,98.53,United States,-,USD,2.44,0.86,1.0,"Jun 15, 2024",0.25,2.43,-,0.86,2.43,0.86,USD,"Jun 15, 2021","Jun 15, 2021"
USD CASH,Cash and/or Derivatives,Cash,"-9,261.22",-0.02,"-9,261.22","-9,261.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
