,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2023 Term Treasury ETF
TREASURY NOTE,Treasury,Fixed Income,"14,711,820.50",19.91,"14,711,820.50","14,276,400.00",9128283U2,US9128283U26,BFMTY74,102.06,United States,-,USD,1.06,0.45,1.0,"Jan 31, 2023",2.38,1.06,-,0.45,1.06,0.45,USD,"Jan 31, 2018","Jan 31, 2018"
TREASURY NOTE,Treasury,Fixed Income,"14,014,920.04",18.97,"14,014,920.04","13,485,000.00",912828VS6,US912828VS66,BCZP0C5,102.99,United States,-,USD,1.57,0.64,1.0,"Aug 15, 2023",2.5,1.58,-,0.64,1.58,0.64,USD,"Aug 15, 2013","Aug 15, 2013"
TREASURY NOTE,Treasury,Fixed Income,"13,483,273.48",18.25,"13,483,273.48","13,050,000.00",9128284S6,US9128284S60,BD5J3K3,103.09,United States,-,USD,1.38,0.54,1.0,"May 31, 2023",2.75,1.38,-,0.54,1.38,0.54,USD,"May 31, 2018","May 31, 2018"
TREASURY NOTE,Treasury,Fixed Income,"9,745,751.50",13.19,"9,745,751.50","9,340,500.00",9128285P1,US9128285P13,BGSLD29,104.09,United States,-,USD,1.86,0.71,1.0,"Nov 30, 2023",2.88,1.86,-,0.71,1.86,0.71,USD,"Nov 30, 2018","Nov 30, 2018"
TREASURY NOTE,Treasury,Fixed Income,"9,091,399.29",12.3,"9,091,399.29","8,700,000.00",912828Y61,US912828Y610,BFNQW92,103.36,United States,-,USD,1.53,0.61,1.0,"Jul 31, 2023",2.75,1.53,-,0.61,1.53,0.61,USD,"Jul 31, 2018","Jul 31, 2018"
TREASURY NOTE,Treasury,Fixed Income,"8,327,962.44",11.27,"8,327,962.44","7,975,000.00",9128285K2,US9128285K26,BGN70C1,103.94,United States,-,USD,1.78,0.7,1.0,"Oct 31, 2023",2.88,1.78,-,0.7,1.78,0.7,USD,"Oct 31, 2018","Oct 31, 2018"
TREASURY NOTE,Treasury,Fixed Income,"2,058,755.05",2.79,"2,058,755.05","2,071,400.00",91282CCD1,US91282CCD11,BM9BQV0,99.38,United States,-,USD,1.4,0.57,1.0,"May 31, 2023",0.13,1.4,-,0.57,1.4,0.57,USD,"May 31, 2021","Jun 01, 2021"
TREASURY NOTE,Treasury,Fixed Income,"1,477,002.27",2.0,"1,477,002.27","1,488,800.00",91282CAW1,US91282CAW10,BN7JWS2,99.18,United States,-,USD,1.86,0.7,1.0,"Nov 15, 2023",0.25,1.85,-,0.7,1.85,0.7,USD,"Nov 15, 2020","Nov 16, 2020"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"527,000.00",0.71,"527,000.00","527,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
TREASURY NOTE,Treasury,Fixed Income,"408,385.05",0.55,"408,385.05","412,400.00",91282CAP6,US91282CAP68,BMD3XJ9,99.0,United States,-,USD,1.78,0.69,1.0,"Oct 15, 2023",0.13,1.77,-,0.69,1.77,0.69,USD,"Oct 15, 2020","Oct 15, 2020"
TREASURY NOTE,Treasury,Fixed Income,"48,439.98",0.07,"48,439.98","49,000.00",91282CBA8,US91282CBA80,BNKD5P9,98.85,United States,-,USD,1.94,0.72,1.0,"Dec 15, 2023",0.13,1.94,-,0.72,1.94,0.72,USD,"Dec 15, 2020","Dec 15, 2020"
USD CASH,Cash and/or Derivatives,Cash,"3,917.71",0.01,"3,917.71","3,918.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
