,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2030 Term Treasury ETF
TREASURY NOTE,Treasury,Fixed Income,"1,440,440.47",30.79,"1,440,440.47","1,513,300.00",91282CAV3,US91282CAV37,BN7JWT3,95.07,United States,-,USD,8.47,1.47,1.0,"Nov 15, 2030",0.88,8.47,-,1.47,8.47,1.47,USD,"Nov 15, 2020","Nov 16, 2020"
TREASURY NOTE,Treasury,Fixed Income,"1,324,036.18",28.3,"1,324,036.18","1,416,200.00",91282CAE1,US91282CAE12,BL6JZM4,93.26,United States,-,USD,8.31,1.46,1.0,"Aug 15, 2030",0.63,8.32,-,1.46,8.32,1.46,USD,"Aug 15, 2020","Aug 17, 2020"
TREASURY NOTE,Treasury,Fixed Income,"1,076,163.33",23.0,"1,076,163.33","1,150,000.00",912828ZQ6,US912828ZQ64,BMHCRF6,93.5,United States,-,USD,8.09,1.45,1.0,"May 15, 2030",0.63,8.1,-,1.45,8.1,1.45,USD,"May 15, 2020","May 15, 2020"
TREASURY NOTE,Treasury,Fixed Income,"816,812.13",17.46,"816,812.13","808,100.00",912828Z94,US912828Z948,BK8ZZ12,100.52,United States,-,USD,7.58,1.43,1.0,"Feb 15, 2030",1.5,7.58,-,1.43,7.58,1.43,USD,"Feb 15, 2020","Feb 18, 2020"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"20,000.00",0.43,"20,000.00","20,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
USD CASH,Cash and/or Derivatives,Cash,"1,553.25",0.03,"1,553.25","1,553.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
